control,depth,kind,index,value
signal,8,alpha,0,0.001608855674597140975326348221026599898568
signal,8,alpha,1,0.00350058923527306821157240556141407303633
signal,8,alpha,2,0.001798343137235390475320051024575102558053
signal,8,alpha,3,0.00121717883321903340421569561149103070981
signal,8,alpha,4,0.001073298158382899983390942475002158739261
signal,8,alpha,5,0.0008660277543410043085309572440044863785256
signal,8,alpha,6,0.0005987013992079958877101699528488682863492
signal,8,alpha,7,0.0005482854996068108802328593717156988556479
signal,8,beta,1,0.0019108977920880258769073916550969611963
signal,8,beta,2,0.001149416015898017592059111045598825495514
signal,8,beta,3,0.0006972956816029312392116680858499777125597
signal,8,beta,4,0.000554484642989347733860269181916137376725
signal,8,beta,5,0.000497686460310588246809739281673238531246
signal,8,beta,6,0.000352792299526731364940827374703255703605
signal,8,beta,7,0.0002722573986453406221562646317586715083449
signal,12,alpha,0,0.001608855674597140975326348221026599898568
signal,12,alpha,1,0.00350058923527306821157240556141407303633
signal,12,alpha,2,0.001798343137235390475320051024575102558053
signal,12,alpha,3,0.00121717883321903340421569561149103070981
signal,12,alpha,4,0.001073298158382899983390942475002158739261
signal,12,alpha,5,0.0008660277543410043085309572440044863785256
signal,12,alpha,6,0.0005987013992079958877101699528488682863492
signal,12,alpha,7,0.0005482854996068108802328593717156988556479
signal,12,alpha,8,0.0005696298292915651987524557291423167550174
signal,12,alpha,9,0.0004502217821762360460182610320559675906692
signal,12,alpha,10,0.0004003231023818132411969193044219366480187
signal,12,alpha,11,0.0003318402747490984383651799400779665411164
signal,12,beta,1,0.0019108977920880258769073916550969611963
signal,12,beta,2,0.001149416015898017592059111045598825495514
signal,12,beta,3,0.0006972956816029312392116680858499777125597
signal,12,beta,4,0.000554484642989347733860269181916137376725
signal,12,beta,5,0.000497686460310588246809739281673238531246
signal,12,beta,6,0.000352792299526731364940827374703255703605
signal,12,beta,7,0.0002722573986453406221562646317586715083449
signal,12,beta,8,0.0002867748165509586058666468483697555005378
signal,12,beta,9,0.0002556179733209575450395671076667788499627
signal,12,beta,10,0.0002080993923886076316544767240131507947177
signal,12,beta,11,0.0001859001180819775661861994179792325496971
signal,16,alpha,0,0.001608855674597140975326348221026599898568
signal,16,alpha,1,0.00350058923527306821157240556141407303633
signal,16,alpha,2,0.001798343137235390475320051024575102558053
signal,16,alpha,3,0.00121717883321903340421569561149103070981
signal,16,alpha,4,0.001073298158382899983390942475002158739261
signal,16,alpha,5,0.0008660277543410043085309572440044863785256
signal,16,alpha,6,0.0005987013992079958877101699528488682863492
signal,16,alpha,7,0.0005482854996068108802328593717156988556479
signal,16,alpha,8,0.0005696298292915651987524557291423167550174
signal,16,alpha,9,0.0004502217821762360460182610320559675906692
signal,16,alpha,10,0.0004003231023818132411969193044219366480187
signal,16,alpha,11,0.0003318402747490984383651799400779665411164
signal,16,alpha,12,0.0003019576625027561210939328364889405619396
signal,16,alpha,13,0.0003353808651896995084831955702884332055234
signal,16,alpha,14,0.0002637649583928393671487263578340928907
signal,16,alpha,15,0.0002336980550908765890252297032823958307866
signal,16,beta,1,0.0019108977920880258769073916550969611963
signal,16,beta,2,0.001149416015898017592059111045598825495514
signal,16,beta,3,0.0006972956816029312392116680858499777125597
signal,16,beta,4,0.000554484642989347733860269181916137376725
signal,16,beta,5,0.000497686460310588246809739281673238531246
signal,16,beta,6,0.000352792299526731364940827374703255703605
signal,16,beta,7,0.0002722573986453406221562646317586715083449
signal,16,beta,8,0.0002867748165509586058666468483697555005378
signal,16,beta,9,0.0002556179733209575450395671076667788499627
signal,16,beta,10,0.0002080993923886076316544767240131507947177
signal,16,beta,11,0.0001859001180819775661861994179792325496971
signal,16,beta,12,0.0001506996348137788619248102609548108417833
signal,16,beta,13,0.000162624939145112688048817065792032979506
signal,16,beta,14,0.0001523313306120092395838461241144757605605
signal,16,beta,15,0.0001202366395218277729674552538400261017105
signal,20,alpha,0,0.001608855674597140975326348221026599898568
signal,20,alpha,1,0.00350058923527306821157240556141407303633
signal,20,alpha,2,0.001798343137235390475320051024575102558053
signal,20,alpha,3,0.00121717883321903340421569561149103070981
signal,20,alpha,4,0.001073298158382899983390942475002158739261
signal,20,alpha,5,0.0008660277543410043085309572440044863785256
signal,20,alpha,6,0.0005987013992079958877101699528488682863492
signal,20,alpha,7,0.0005482854996068108802328593717156988556479
signal,20,alpha,8,0.0005696298292915651987524557291423167550174
signal,20,alpha,9,0.0004502217821762360460182610320559675906692
signal,20,alpha,10,0.0004003231023818132411969193044219366480187
signal,20,alpha,11,0.0003318402747490984383651799400779665411164
signal,20,alpha,12,0.0003019576625027561210939328364889405619396
signal,20,alpha,13,0.0003353808651896995084831955702884332055234
signal,20,alpha,14,0.0002637649583928393671487263578340928907
signal,20,alpha,15,0.0002336980550908765890252297032823958307866
signal,20,alpha,16,0.0002171364829680712244482189907293036644994
signal,20,alpha,17,0.0002256706173179729851315000963949124576789
signal,20,alpha,18,0.0002156450056179494156511693518449540328293
signal,20,alpha,19,0.0001876749748347117346756639267301471418593
signal,20,beta,1,0.0019108977920880258769073916550969611963
signal,20,beta,2,0.001149416015898017592059111045598825495514
signal,20,beta,3,0.0006972956816029312392116680858499777125597
signal,20,beta,4,0.000554484642989347733860269181916137376725
signal,20,beta,5,0.000497686460310588246809739281673238531246
signal,20,beta,6,0.000352792299526731364940827374703255703605
signal,20,beta,7,0.0002722573986453406221562646317586715083449
signal,20,beta,8,0.0002867748165509586058666468483697555005378
signal,20,beta,9,0.0002556179733209575450395671076667788499627
signal,20,beta,10,0.0002080993923886076316544767240131507947177
signal,20,beta,11,0.0001859001180819775661861994179792325496971
signal,20,beta,12,0.0001506996348137788619248102609548108417833
signal,20,beta,13,0.000162624939145112688048817065792032979506
signal,20,beta,14,0.0001523313306120092395838461241144757605605
signal,20,beta,15,0.0001202366395218277729674552538400261017105
signal,20,beta,16,0.0001134064947087421306379272979447104253445
signal,20,beta,17,0.0001075739142392592303110810028416271505149
signal,20,beta,18,0.0001154443069143022163222753548193173667981
signal,20,beta,19,0.00009701864358338736735399034287173117947218
signflip,8,alpha,0,0.001608855674597140975326348221026599898568
signflip,8,alpha,1,-0.01221691242284586214631393450003070336207
signflip,8,beta,1,0.0019108977920880258769073916550969611963
signflip,12,alpha,0,0.001608855674597140975326348221026599898568
signflip,12,alpha,1,-0.01221691242284586214631393450003070336207
signflip,12,beta,1,0.0019108977920880258769073916550969611963
signflip,16,alpha,0,0.001608855674597140975326348221026599898568
signflip,16,alpha,1,-0.01221691242284586214631393450003070336207
signflip,16,beta,1,0.0019108977920880258769073916550969611963
