index,moment
0,0.0231049931154189707889338104303390140033817603974220901231825
1,0.0000371725992852696861648662624717405784536508897300832135755064
2,0.000000144173931400973279695381556094820907036883008509098118715999
3,0.000000000663031680252990869873272081961357248473692759070842579285747
4,0.00000000000321366415061660121610211659983465514156284860000445617169279
5,0.0000000000000158769345149101535189828388083910428366939337944719376905984
6,0.0000000000000000790332572404673791109893061734150455832003290085917699292388
7,0.000000000000000000394647139999884613379632906639820879092668840336945247973628
8,1.97326507374496727652359622181794857293110322408181396312956e-21
9,9.8721653832971575935702836879918766690462605701022804869855e-24
10,4.94025635228197904747088124457973924289415175801735067811937e-26
11,2.47249444432876934605903664092309308563885822672791114105249e-28
12,1.23749344432499663315041383433503142810881121481344874466925e-30
13,6.19384342331020145872771301795169141181535522353011674645002e-33
14,3.10014428902178237733859264459771761252012600218909291737188e-35
15,1.55169213309248864804903390621501295638339146228474052260027e-37
16,7.76658491063252806022881369890695863546031205690739867323577e-40
17,3.88736240633881932232213888746553010640346538233112264648824e-42
18,1.94571911897713543932408931390043129374299107540360502409026e-44
19,9.73879768251335041646396511283513884150387673187892230297372e-47
20,4.87450564698720650846928936401065426289286450949168555788047e-49
21,2.43980899756020333605049720036236127815846439919114518465594e-51
22,1.22118394736701849027335272635472049212123079041934429213507e-53
23,6.11232373700642057424093629233810587863256946116339237065804e-56
24,3.0593672377057707058605115449412784514367374992494569789932e-58
25,1.53128798682835263193378525992656122542294343868872444899359e-60
26,7.66447019304138892890973984528052001285976940710811572062126e-63
27,3.83625443838612895323260444022437958637135156437771396184362e-65
28,1.92013899820085450034915755797769886981225553253843341548828e-67
29,9.61076443670025562890964940760031194933744652581648171435665e-70
30,4.81042222188454674333389062488004608917023579438896888335287e-72
31,2.40773375578235929849712773758371535730030401145781939530668e-74
32,1.20512952322476162210056522209528675244930021128896997465863e-76
33,6.031967464276662155788421366729402715081457353355062399728e-79
34,3.01914697042503137658585962459489304378349475687764278169133e-81
35,1.51115676319797727634588719182600891551522544365973823270045e-83
36,7.56370850882457571209496546602587312068062178288343849015804e-86
37,3.78582075663693896349099542029137772968608472962224618550511e-88
38,1.89489570951368470222214087892941931541435108463657631827567e-90
39,9.48441561486688755950428922537615382359282476622496457558675e-93
40,4.74718155220363433305232068816466307346112780986492981179471e-95
41,2.37608025678015400988566777663245224464521839046948953821094e-97
42,1.18928617424368426961147584920229348670803295819935983669673e-99
43,5.9526676349049238223858639464425440219561362740973330918559e-102
44,2.97945546993167441450922163719042761267667641666997064279868e-104
45,1.49129019823858564786733998996101058119658842537400351055896e-106
46,7.46427150130718468576489856009424927572030298216168612742198e-109
47,3.73605010688288154031324260449194427180041415491983139280357e-111
48,1.86998428429287118293945366455545692624012118621540538259382e-113
49,9.3597278501702423641595709563973651006474194391181607508463e-116
50,4.68477228205047948036294578718605278344835128674133741339896e-118
51,2.3448428935109759313225867830528851700116485326128526542143e-120
52,1.17365111134972359739787594365215870808435538504133978296619e-122
53,5.87441032823290762799920266469568692964867877419595848979587e-125
54,2.94028577749683435058883188301390913622376268006443533706995e-127
55,1.47168481095033868402159214110314575565122357104417336742209e-129
56,7.36614175179190035198493656143873816327429545744564025024606e-132
57,3.68693377167176772088530641543245846565740636456423788620555e-134
