depth,a
0,0.0231049931154189707889338104303390140033817603974220901231825
1,0.00160885567459714097532634822102659989856812475500636490871501
2,0.00226964446187582296710200238347457919390416016315866752953994
3,0.00123094477339724524447040317793949384242553249967882797237317
4,0.00107328712559268783973494326732506391182020685536939062828701
5,0.000725056011642702635585107757250038646233039990608934364034564
6,0.000670598215550965508642336259783553280191944459828197742259179
7,0.000546580617668067895573359351707477429618189260466316841634245
8,0.000562502967307445224319030551542057190244565223374217728756047
9,0.000510795191075454759071911923460101549016686231863962284152001
10,0.00048491414387629512812779721097497877678947194199231467835004
11,0.000381113610464709180403160033029507601736133739840995119763414
12,0.000326575601573494736953432937015479828515182977114978150200292
13,0.000272125797634501150756737015833388457833967254650032680819471
14,0.000272389063298900499035356017383216518163160759945117462842798
15,0.000275896436307910381197503354332482337484719343288066969767483
16,0.000298082122800793925028630172871089580806904777579614718876167
17,0.000271547706490771273723825556271227174210512676434112519576887
18,0.000240622721985443852401626257636491760962115077204022284850656
19,0.000209599060190792193616634774419475829707119819180207387730801
