control,depth,kind,index,value
signal,4,alpha,0,0.0016088556745971409753263482210265998985681247550064
signal,4,alpha,1,0.0035005892352730682115724055614140730363296926628375
signal,4,alpha,2,0.0017983431372353904753200510245751025580532468459783
signal,4,alpha,3,0.0012171788332190334042156956114910307098101337177862
signal,4,beta,1,0.0019108977920880258769073916550969611962998992310499
signal,4,beta,2,0.001149416015898017592059111045598825495514006415067
signal,4,beta,3,0.00069729568160293123921166808584997771255966935622545
signal,6,alpha,0,0.0016088556745971409753263482210265998985681247550064
signal,6,alpha,1,0.0035005892352730682115724055614140730363296926628375
signal,6,alpha,2,0.0017983431372353904753200510245751025580532468459783
signal,6,alpha,3,0.0012171788332190334042156956114910307098101337177862
signal,6,alpha,4,0.0010732981583828999833909424750021587392612652460876
signal,6,alpha,5,0.00086602775434100430853095724400448638279496774242272
signal,6,beta,1,0.0019108977920880258769073916550969611962998992310499
signal,6,beta,2,0.001149416015898017592059111045598825495514006415067
signal,6,beta,3,0.00069729568160293123921166808584997771255966935622545
signal,6,beta,4,0.00055448464298934773386026918191613737672501952442922
signal,6,beta,5,0.00049768646031058824680973928167323853124755159918112
signflip,4,alpha,0,0.0016088556745971409753263482210265998985681247550064
signflip,4,alpha,1,-0.012216912422845862146313934500030703362067773281602
signflip,4,beta,1,0.0019108977920880258769073916550969611962998992310499
signflip,6,alpha,0,0.0016088556745971409753263482210265998985681247550064
signflip,6,alpha,1,-0.012216912422845862146313934500030703362067773281602
signflip,6,beta,1,0.0019108977920880258769073916550969611962998992310499
